Correction,sampled_values,mean,sd,median,q1,q3,min,max
Raw,2000000,0.4885,0.387,0.5326,0.0464,0.8963,0,0.9997
ComBat,2000000,0.4887,0.3876,0.5349,0.0451,0.8967,0,0.9999
