Correction,bin_midpoint,count,sampled_values
ComBat,0.715,12100,2000000
ComBat,0.725,12590,2000000
ComBat,0.735,12905,2000000
ComBat,0.745,13235,2000000
ComBat,0.755,13799,2000000
ComBat,0.765,14229,2000000
ComBat,0.775,14560,2000000
ComBat,0.785,15126,2000000
ComBat,0.795,16291,2000000
ComBat,0.805,16441,2000000
ComBat,0.8150000000000001,17323,2000000
ComBat,0.8250000000000001,17960,2000000
ComBat,0.835,19020,2000000
ComBat,0.845,20130,2000000
ComBat,0.855,21228,2000000
ComBat,0.865,22426,2000000
ComBat,0.875,24000,2000000
ComBat,0.885,25816,2000000
ComBat,0.895,28069,2000000
ComBat,0.905,30999,2000000
ComBat,0.915,36466,2000000
ComBat,0.925,44434,2000000
ComBat,0.935,53440,2000000
ComBat,0.9450000000000001,61992,2000000
ComBat,0.9550000000000001,70063,2000000
ComBat,0.965,77851,2000000
ComBat,0.975,72829,2000000
ComBat,0.985,38248,2000000
ComBat,0.995,4198,2000000
