Correction,StageVar,Group,Clock,n,mean,sd,median,q1,q3,min,max
ComBat,DiseaseGroup,MASH,PCPhenoAge,79,-0.57,6.76,-0.05,-4.44,4.05,-18.35,13.98
ComBat,DiseaseGroup,MASL,PCPhenoAge,50,1.45,7.14,1.56,-2.19,5.88,-15.45,18.86
ComBat,DiseaseGroup,Mild fibrosis,PCPhenoAge,14,3,7.79,0.59,-2.93,9.95,-5.82,15.85
ComBat,DiseaseGroup,Advanced fibrosis,GrimAgeV1,120,1.59,3.24,1.89,-0.48,3.78,-8.02,9.55
ComBat,DiseaseGroup,Healthy,GrimAgeV1,74,-1.34,2.64,-1.56,-3.35,0.42,-7.12,4.94
ComBat,DiseaseGroup,Healthy obese,GrimAgeV1,228,-0.25,3.05,-0.44,-2.49,1.57,-6.67,12.6
ComBat,DiseaseGroup,MASH,GrimAgeV1,79,-0.68,2.97,-0.44,-3.09,1.92,-8.18,4.49
ComBat,DiseaseGroup,MASL,GrimAgeV1,50,0.24,3.15,-0.15,-1.6,0.93,-6.27,8.1
ComBat,DiseaseGroup,Mild fibrosis,GrimAgeV1,14,0.52,3.16,-0.22,-1.26,0.81,-2.81,9.98
ComBat,DiseaseGroup,Advanced fibrosis,PCGrimAge,120,0.32,1.57,0.09,-0.9,1.59,-2.64,4.26
ComBat,DiseaseGroup,Healthy,PCGrimAge,74,-0.62,1.83,-0.64,-1.9,0.66,-5.87,3.44
ComBat,DiseaseGroup,Healthy obese,PCGrimAge,228,-0.22,1.85,-0.48,-1.57,0.88,-3.72,5.18
ComBat,DiseaseGroup,MASH,PCGrimAge,79,0.09,2.12,-0.26,-1.56,1.38,-3.47,5.68
ComBat,DiseaseGroup,MASL,PCGrimAge,50,0.73,2.11,0.18,-0.65,1.99,-2.31,8.81
ComBat,DiseaseGroup,Mild fibrosis,PCGrimAge,14,1.08,1.86,0.2,-0.08,2.21,-1.47,5.01
ComBat,DiseaseGroup,Advanced fibrosis,HepClock,120,4.53,4.72,4.14,1.49,7.24,-6.44,19.57
