"Clock","Correction","matrix","analysis_role","comparison","n","beta_no_BMI","conf_low_no_BMI","conf_high_no_BMI","p_value_no_BMI","BH_no_BMI","beta_BMI_adjusted","conf_low_BMI_adjusted","conf_high_BMI_adjusted","p_value_BMI_adjusted","BH_BMI_adjusted","beta_change_BMI_minus_no_BMI","relative_beta_change_percent","direction_concordant","FDR_status_change","Healthy_Obese_BMI_n","Healthy_Obese_BMI_mean","Healthy_Obese_BMI_SD","Healthy_Obese_BMI_median","Healthy_Obese_BMI_IQR","Advanced_Fibrosis_BMI_n","Advanced_Fibrosis_BMI_mean","Advanced_Fibrosis_BMI_SD","Advanced_Fibrosis_BMI_median","Advanced_Fibrosis_BMI_IQR","note"
"LiverClock","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,2.74892084225247,2.12907300407362,3.36876868043132,1.45637843310801e-16,3.49530823945922e-16,2.75540722032676,2.13316003272523,3.3776544079283,1.61578184270182e-16,3.87787642248438e-16,0.00648637807429564,0.235960889618804,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Horvath1","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,4.31757464022082,3.19146348730069,5.44368579314095,4.73284647638364e-13,1.13588315433207e-12,4.1267618958585,3.03689556133123,5.21662823038577,8.73875728457319e-13,2.09730174829757e-12,-0.190812744362317,-4.41944286463008,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Horvath2","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,-2.68239440640354,-4.36947589590924,-0.995312916897839,0.001920613000504,0.00230473560060481,-2.77478858928269,-4.46235411838453,-1.08722306018085,0.00134370571363899,0.00161244685636679,-0.0923941828791515,-3.44446672937371,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Hannum","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,-4.66060707542405,-5.80807634762264,-3.51313780322546,2.41523768275872e-14,7.24571304827616e-14,-4.61661314752983,-5.7665898812477,-3.46663641381195,4.54451398309089e-14,1.36335419492727e-13,0.0439939278942232,0.943952733673013,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PhenoAge","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,4.62912285422595,3.05429762199806,6.20394808645384,1.73681971158391e-08,2.97740521985812e-08,4.42505969870477,2.87700216860059,5.97311722880895,4.0683465970498e-08,6.97430845208537e-08,-0.204063155521179,-4.4082467013138,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"GrimAgeV1","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,1.56708463954598,0.90558809162236,2.22858118746959,4.62142352891425e-06,6.16189803855234e-06,1.48483416897453,0.833469802025888,2.13619853592318,1.01755306094188e-05,1.35673741458918e-05,-0.0822504705714437,-5.24862974824856,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCHannum","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,-0.259737140581906,-1.42905648384943,0.909582202685615,0.662402068038296,0.662402068038296,-0.367005473980271,-1.52876500002226,0.794754052061717,0.534708238637105,0.534708238637105,-0.107268333398366,-41.298804305786,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCHorvath1","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,6.19304536049802,4.87810799580834,7.50798272518771,2.84788835204035e-18,3.41746602244842e-17,5.97487294056372,4.70026308906612,7.24948279206132,3.97847617541519e-18,4.77417141049822e-17,-0.218172419934302,-3.52286164938985,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCHorvath2","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,6.81522407283734,5.32451074054009,8.30593740513459,2.08671325510076e-17,1.25202795306046e-16,6.61063015408626,5.14911570751955,8.07214460065297,4.22300417425789e-17,2.53380250455473e-16,-0.204593918751077,-3.0020130895843,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCPhenoAge","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,-3.60326400359371,-5.07933879117917,-2.12718921600825,2.40425921476135e-06,3.60638882214203e-06,-3.68607254005384,-5.16229940638295,-2.20984567372472,1.43570267344993e-06,2.15355401017489e-06,-0.082808536460127,-2.29815346245898,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCGrimAge","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,0.202143683280249,-0.11708111219659,0.521368478757087,0.213744825938854,0.233176173751477,0.183165903912859,-0.135938230119797,0.502270037945516,0.259623810642815,0.283225975246707,-0.0189777793673891,-9.38826237824047,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"HepClock","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,4.21962153480119,3.18819420383075,5.25104886577164,1.63103799791321e-14,6.52415199165283e-14,4.21100322977168,3.17553270335908,5.24647375618428,2.27290356463249e-14,9.09161425852998e-14,-0.00861830502951833,-0.204243554983288,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"LiverClock","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,2.91365767545463,2.10958110211785,3.71773424879141,6.68942233736392e-12,1.33788446747278e-11,2.93974533691035,2.13349567057906,3.74599500324163,5.08378065295994e-12,1.01675613059199e-11,0.0260876614557124,0.895357806631893,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
