"analysis_role","matrix","Correction","Clock","residualization_scope","comparison","beta","ci_lower","ci_upper","p_value","q_value","fdr_significant","n_age_residualization","n_model_samples","std_error","statistic","model","covariates"
"primary","Raw/pre-ComBat","Raw betas","PCGrimAge","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",0.322723073529143,0.0362172920039842,0.609228855054302,0.0273866911784205,0.0298763903764587,TRUE,325,325,0.145629669986251,2.21605304440786,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","HepClock","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.53950545777847,3.8161365029328,5.26287441262413,6.20631376004745e-29,7.44757651205694e-28,TRUE,565,325,0.367685362618844,12.3461685432506,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","HepClock","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.20003086438022,3.49321868067609,4.90684304808434,1.48310898719613e-26,1.77973078463536e-25,TRUE,325,325,0.359269626278221,11.6904702128303,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","LiverClock","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",2.74892084225247,2.12907300407362,3.36876868043132,1.45637843310801e-16,3.49530823945922e-16,TRUE,565,325,0.315066019384151,8.7249042204732,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","LiverClock","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",2.44397702818585,1.84799327889897,3.03996077747274,1.43250982722043e-14,2.86501965444086e-14,TRUE,325,325,0.302936004515485,8.06763472072178,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","Horvath1","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.31757464022082,3.19146348730069,5.44368579314095,4.73284647638364e-13,1.13588315433207e-12,TRUE,565,325,0.572397508680621,7.54296546498403,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","Horvath1","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",3.90048274737211,2.79167888800013,5.00928660674408,2.43812270215343e-11,5.85149448516823e-11,TRUE,325,325,0.563600284993349,6.9206543204962,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","Horvath2","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-2.68239440640354,-4.36947589590924,-0.995312916897839,0.001920613000504,0.00230473560060481,TRUE,565,325,0.857536344463097,-3.12802416331751,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","Horvath2","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-3.38552279641861,-4.96213057387055,-1.80891501896667,3.11986188930199e-05,4.15981585240265e-05,TRUE,325,325,0.801383026568768,-4.22460007783568,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","Hannum","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-4.66060707542405,-5.80807634762264,-3.51313780322546,2.41523768275872e-14,7.24571304827616e-14,TRUE,565,325,0.583253749854852,-7.99070229138498,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","Hannum","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-4.99882297055049,-6.09978711947343,-3.89785882162755,3.26689070248409e-17,3.92026884298091e-16,TRUE,325,325,0.55961539352134,-8.93260447875772,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PhenoAge","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.62912285422595,3.05429762199806,6.20394808645384,1.73681971158391e-08,2.97740521985812e-08,TRUE,565,325,0.800476966414129,5.78295572321448,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PhenoAge","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.2125205352853,2.64854817325881,5.77649289731179,2.16404453686155e-07,3.24606680529232e-07,TRUE,325,325,0.794960498657631,5.29903126306095,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","GrimAgeV1","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",1.56708463954598,0.90558809162236,2.22858118746959,4.62142352891425e-06,6.16189803855234e-06,TRUE,565,325,0.336235881378543,4.66067045884883,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","GrimAgeV1","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",1.3886836461014,0.729248483950964,2.04811880825183,4.38559956219869e-05,5.26271947463843e-05,TRUE,325,325,0.335188087758935,4.14299820553327,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCHannum","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-0.259737140581906,-1.42905648384943,0.909582202685615,0.662402068038296,0.662402068038296,FALSE,565,325,0.594360048031474,-0.437003027781153,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCHannum","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-0.717505045806882,-1.83473406173134,0.399723970117572,0.207332925376206,0.226181373137679,FALSE,325,325,0.567882756229317,-1.26347390889458,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCHorvath1","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",6.19304536049802,4.87810799580834,7.50798272518771,2.84788835204035e-18,3.41746602244842e-17,TRUE,565,325,0.66837706887787,9.26579568460578,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCHorvath1","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",5.64130920037075,4.35556308954373,6.92705531119778,2.82425260138049e-16,1.69455156082829e-15,TRUE,325,325,0.653539278715753,8.63193595870211,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCHorvath2","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",6.81522407283734,5.32451074054009,8.30593740513459,2.08671325510076e-17,1.25202795306046e-16,TRUE,565,325,0.757723245481833,8.99434472081368,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCHorvath2","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",6.22106075410553,4.76531550830253,7.67680599990854,1.37356587889791e-15,5.49426351559163e-15,TRUE,325,325,0.739949115867071,8.40741697057873,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCPhenoAge","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-3.60326400359371,-5.07933879117917,-2.12718921600825,2.40425921476135e-06,3.60638882214203e-06,TRUE,565,325,0.750282535475535,-4.80254281983244,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCPhenoAge","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-4.04667724394797,-5.46966851575872,-2.62368597213723,4.72690501828525e-08,8.10326574563185e-08,TRUE,325,325,0.723300410218479,-5.59473931823934,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCGrimAge","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",0.202143683280249,-0.11708111219659,0.521368478757087,0.213744825938854,0.233176173751477,FALSE,565,325,0.162260605594928,1.24579643061906,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","PCGrimAge","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",0.129448168542855,-0.191491571710868,0.450387908796578,0.428061325604612,0.428061325604612,FALSE,325,325,0.163132304729838,0.793516457437616,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","HepClock","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.21962153480119,3.18819420383075,5.25104886577164,1.63103799791321e-14,6.52415199165283e-14,TRUE,565,325,0.524270124757797,8.04856377568831,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","HepClock","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",3.46792441581219,2.56399403037051,4.37185480125387,4.58714122579452e-13,1.37614236773835e-12,TRUE,325,325,0.459463969703022,7.54776140129923,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","LiverClock","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",2.91365767545463,2.10958110211785,3.71773424879141,6.68942233736392e-12,1.33788446747278e-11,TRUE,565,325,0.408708701776853,7.12893477136054,"rEAA ~ FibrosisGroup + Sex","Sex"
"sensitivity","ComBat","ComBat betas","LiverClock","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",2.25709643186316,1.58575098641019,2.92844187731614,1.55449537804414e-10,3.10899075608829e-10,TRUE,325,325,0.341242034096627,6.61435639908312,"rEAA ~ FibrosisGroup + Sex","Sex"
